ROW,REGION_NM,MON_YR,REGION,STATE,SECTOR,CATEGORY,FUEL,UTILITY,STATION,INSTALLED_CAPACITY,PROGRAM_GENERATION,ACTUAL_GENERATION
201,REG1,17-Mar,NORTHERN,RAJASTHAN,STATE,HYDRO,HYDRO,RRVUNL,MAHI BAJAJ  HPS,140,23,22.62
202,REG1,17-Mar,NORTHERN,UTTARAKHAND,STATE,HYDRO,HYDRO,UJVNL,MANERI BHALI  I  HPS,90,24,21.04
203,REG1,17-Mar,NORTHERN,PUNJAB,CENTRAL,HYDRO,HYDRO,BBMB,GANGUWAL  HPS,77.65,34,36.01
204,REG1,17-Mar,NORTHERN,RAJASTHAN,CENTRAL,THERMAL,NATURAL GAS,NTPC Ltd.,ANTA CCPP,419.33,97,80.89
205,REG2,17-Mar,WESTERN,MADHYA PRADESH,CENTRAL,HYDRO,HYDRO,NHDC,INDIRA SAGAR  HPS,1000,190,163.57
206,REG3,17-Mar,SOUTHERN,TAMIL NADU,STATE,HYDRO,HYDRO,TNGDCL,METTUR DAM  HPS.,50,2,0.5
207,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,HYDRO,HYDRO,KPCL,MUNIRABAD  HPS,28,2,0
208,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,NAGARJUN SGR  LBC  HPS,60,0,0
209,REG3,17-Mar,SOUTHERN,TAMIL NADU,CENTRAL,THERMAL,COAL,NLC,NEYVELI ( EXT) TPS,420,282,313.1
210,REG3,17-Mar,SOUTHERN,KERALA,STATE,HYDRO,HYDRO,KSEB,PALLIVASAL  HPS.,37.5,18,16.46
211,REG5,17-Mar,NORTH EASTERN,TRIPURA,STATE,THERMAL,NATURAL GAS,TSECL,BARAMURA GT,58.5,25,15.13
212,REG2,17-Mar,WESTERN,MAHARASHTRA,STATE,THERMAL,COAL,MAHAGENCO,PARLI TPS,1170,100,368.75
213,REG4,17-Mar,EASTERN,JHARKHAND,CENTRAL,THERMAL,COAL,PVUNL,PATRATU TPS,455,68,0
214,REG2,17-Mar,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,PENCH  HPS,160,16,11.95
215,REG3,17-Mar,SOUTHERN,KARNATAKA,STATE,THERMAL,COAL,KPCL,RAICHUR TPS,1720,1024,1140.72
216,REG2,17-Mar,WESTERN,MADHYA PRADESH,STATE,HYDRO,HYDRO,MPPGCL,RAJGHAT  HPS,45,2,0
217,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,THERMAL,COAL,TSGENCO,RAMAGUNDEM  B TPS,62.5,27,43.24
218,REG1,17-Mar,NORTHERN,UTTAR PRADESH,CENTRAL,THERMAL,COAL,NTPC Ltd.,UNCHAHAR TPS,1550,621,620.28
219,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,STATE,HYDRO,HYDRO,APGENCO,UPPER SILERU  HPS,240,57,71.97
220,REG1,17-Mar,NORTHERN,HIMACHAL PRADESH,PVT,HYDRO,HYDRO,HSPCL,SORANG HPS,0,NA,0
221,REG2,17-Mar,WESTERN,MADHYA PRADESH,STATE,THERMAL,COAL,MPPGCL,SANJAY GANDHI TPS,1340,618,691.39
222,REG3,17-Mar,SOUTHERN,KARNATAKA,PVT,THERMAL,COAL,JSWEL,TORANGALLU TPS(SBUI),260,181,190.04
223,REG3,17-Mar,SOUTHERN,ANDHRA PRADESH,PVT,THERMAL,COAL,TPCIL,PAINAMPURAM TPP,1320,764,940.43
224,REG4,17-Mar,EASTERN,BIHAR,CENTRAL,THERMAL,COAL,BRBCL,NABI NAGAR TPP,250,51,0
225,REG3,17-Mar,SOUTHERN,TELANGANA,STATE,HYDRO,HYDRO,TSGENCO,PRIYADARSHNI  JURALA  HPS,234,0,0
226,REG1,17-Mar,NORTHERN,UTTAR PRADESH,PVT,THERMAL,COAL,BEPL,KHAMBARKHERA TPS,90,28,1.59
227,REG1,17-Mar,NORTHERN,JAMMU AND KASHMIR,CENTRAL,HYDRO,HYDRO,NHPC,URII HPS,480,320,338.92
